Training Teacher
Epoch 45/300 | Loss: 8723.75125 | Accuracy: 0.57118
Epoch 46/300 | Loss: 8246.20681 | Accuracy: 0.58110
Epoch 47/300 | Loss: 8549.23271 | Accuracy: 0.57340
Epoch 48/300 | Loss: 8615.14606 | Accuracy: 0.57574
Epoch 49/300 | Loss: 9132.79782 | Accuracy: 0.56002
Epoch 50/300 | Loss: 8602.00835 | Accuracy: 0.57660
Epoch 51/300 | Loss: 8780.90739 | Accuracy: 0.56704
Epoch 52/300 | Loss: 8271.96476 | Accuracy: 0.57922
Epoch 53/300 | Loss: 9211.95871 | Accuracy: 0.55778
Epoch 54/300 | Loss: 11195.92940 | Accuracy: 0.53930
Epoch 55/300 | Loss: 8595.53145 | Accuracy: 0.57604
Epoch 56/300 | Loss: 7697.00738 | Accuracy: 0.59590
Epoch 57/300 | Loss: 8145.22193 | Accuracy: 0.58152
Epoch 58/300 | Loss: 10104.36809 | Accuracy: 0.54550
Epoch 59/300 | Loss: 8569.30465 | Accuracy: 0.57604
Epoch 60/300 | Loss: 8788.51794 | Accuracy: 0.56926
Epoch 61/300 | Loss: 9066.75083 | Accuracy: 0.56908
Epoch 62/300 | Loss: 8241.89001 | Accuracy: 0.57974
Epoch 63/300 | Loss: 8011.48321 | Accuracy: 0.58854
Epoch 64/300 | Loss: 8384.32123 | Accuracy: 0.58232
Epoch 65/300 | Loss: 7718.47725 | Accuracy: 0.59206
Epoch 66/300 | Loss: 10231.04416 | Accuracy: 0.55636
Epoch 67/300 | Loss: 8282.96707 | Accuracy: 0.58402
Epoch 68/300 | Loss: 7655.63180 | Accuracy: 0.59236
Epoch 69/300 | Loss: 7993.47284 | Accuracy: 0.58860
Epoch 70/300 | Loss: 7307.35785 | Accuracy: 0.60492
Epoch 71/300 | Loss: 9120.53633 | Accuracy: 0.56246
Epoch 72/300 | Loss: 8028.55284 | Accuracy: 0.58814
Epoch 73/300 | Loss: 7318.45178 | Accuracy: 0.59958
Epoch 74/300 | Loss: 7575.68468 | Accuracy: 0.59612
Epoch 75/300 | Loss: 8025.93066 | Accuracy: 0.58398
Epoch 76/300 | Loss: 7606.15807 | Accuracy: 0.59630
Epoch 77/300 | Loss: 8005.80055 | Accuracy: 0.58480
Epoch 78/300 | Loss: 8050.90945 | Accuracy: 0.58148
Epoch 79/300 | Loss: 9148.19149 | Accuracy: 0.55954
Epoch 80/300 | Loss: 7789.96752 | Accuracy: 0.59340
Epoch 81/300 | Loss: 8026.58869 | Accuracy: 0.58896
Epoch 82/300 | Loss: 7021.57075 | Accuracy: 0.60796
Epoch 83/300 | Loss: 7246.34831 | Accuracy: 0.59980
Epoch 84/300 | Loss: 7660.49971 | Accuracy: 0.58988
Epoch 85/300 | Loss: 7344.84588 | Accuracy: 0.60140
Epoch 86/300 | Loss: 6853.70505 | Accuracy: 0.60832
Epoch 87/300 | Loss: 10907.62037 | Accuracy: 0.53314
Epoch 88/300 | Loss: 9443.44344 | Accuracy: 0.55536
Epoch 89/300 | Loss: 7024.69743 | Accuracy: 0.61076
Epoch 90/300 | Loss: 6907.25483 | Accuracy: 0.60852
Epoch 91/300 | Loss: 9549.94793 | Accuracy: 0.55186
Epoch 92/300 | Loss: 7865.30245 | Accuracy: 0.58258
Epoch 93/300 | Loss: 9831.50452 | Accuracy: 0.54930
Epoch 94/300 | Loss: 8028.20434 | Accuracy: 0.57936
Epoch 95/300 | Loss: 7926.19045 | Accuracy: 0.58792
Epoch 96/300 | Loss: 7816.34385 | Accuracy: 0.58392
Epoch 97/300 | Loss: 6544.21659 | Accuracy: 0.61396
Epoch 98/300 | Loss: 8918.12061 | Accuracy: 0.56164
Epoch 99/300 | Loss: 7067.84268 | Accuracy: 0.59912
Epoch 100/300 | Loss: 8254.05860 | Accuracy: 0.57768
Epoch 101/300 | Loss: 9066.73270 | Accuracy: 0.55766
Epoch 102/300 | Loss: 6802.89970 | Accuracy: 0.60740
Epoch 103/300 | Loss: 6641.86981 | Accuracy: 0.61180
Epoch 104/300 | Loss: 6706.30434 | Accuracy: 0.60476
Epoch 105/300 | Loss: 6781.07921 | Accuracy: 0.60020
Epoch 106/300 | Loss: 6530.21740 | Accuracy: 0.60804
Epoch 107/300 | Loss: 7315.17125 | Accuracy: 0.59248
Epoch 108/300 | Loss: 7083.68173 | Accuracy: 0.59506
Epoch 109/300 | Loss: 6666.81905 | Accuracy: 0.60388
Epoch 110/300 | Loss: 6380.82387 | Accuracy: 0.61494
Epoch 111/300 | Loss: 6386.48558 | Accuracy: 0.61194
Epoch 112/300 | Loss: 6184.03288 | Accuracy: 0.62196
Epoch 113/300 | Loss: 8253.53523 | Accuracy: 0.56720
Epoch 114/300 | Loss: 6512.39744 | Accuracy: 0.60516
Epoch 115/300 | Loss: 6054.72394 | Accuracy: 0.61346
Epoch 116/300 | Loss: 6142.32646 | Accuracy: 0.61404
Epoch 117/300 | Loss: 6170.90060 | Accuracy: 0.61032
Epoch 118/300 | Loss: 6306.43646 | Accuracy: 0.60892
Epoch 119/300 | Loss: 5974.40960 | Accuracy: 0.61564
Epoch 120/300 | Loss: 6481.98129 | Accuracy: 0.60528
Epoch 121/300 | Loss: 5668.57827 | Accuracy: 0.62382
Epoch 122/300 | Loss: 5684.11583 | Accuracy: 0.62078
Epoch 123/300 | Loss: 5997.83881 | Accuracy: 0.60672
Epoch 124/300 | Loss: 5589.45215 | Accuracy: 0.62194
Epoch 125/300 | Loss: 6764.36353 | Accuracy: 0.58976
Epoch 126/300 | Loss: 6505.56224 | Accuracy: 0.59360
Epoch 127/300 | Loss: 6717.91922 | Accuracy: 0.59238
